PDB,SET,pK
2qg2,Train,5.4
2qhc,Train,8.96
2qhd,Train,5.38
2qhm,Train,6.18
2qhr,Train,7.39
2qhy,Train,7.48
2qhz,Train,7.28
2qi0,Train,7.38
2qi1,Train,7.3
2qi3,Train,10.2
2qi4,Train,10.44
2qi5,Train,10.85
2qi6,Train,10.57
2qi7,Train,10.21
2qic,Train,5.48
2qki,Train,6.41
2qlm,Train,5.64
2qln,Train,5.43
2qm7,Train,5.89
2qm9,Train,7.77
2qmg,Train,9.15
2qmj,Train,4.21
2qn3,Train,5.36
2qnb,Train,5.34
2qnn,Train,7.15
2qnp,Train,6.41
2qnq,Test,6.11
2qo8,Train,8.47
2qoa,Train,7.28
2qp6,Train,6.68
2qpq,Train,6.37
2qpu,Train,3.6
2qqs,Train,6.4
2qrg,Train,5.18
2qrh,Train,4.71
2qrk,Train,4.26
2qrl,Train,4.0
2qrm,Train,4.03
2qrp,Train,6.2
2qrq,Train,5.1
2qry,Train,8.64
2qt5,Train,5.03
2qta,Train,5.76
2qtg,Train,5.08
2qtn,Train,3.42
2qtr,Train,5.49
2qtt,Train,4.32
2qtu,Train,9.28
2qu5,Train,8.06
2qu6,Train,8.52
2qv7,Train,3.66
2qw1,Train,3.9
2qwb,Train,2.74
2qwc,Train,3.55
2qwd,Train,4.85
2qwe,Train,7.48
2qwf,Train,5.67
2qx0,Train,6.11
2qzr,Train,7.26
2r02,Train,5.1
2r03,Train,5.15
2r05,Train,5.15
2r0h,Train,3.51
2r0y,Train,3.0
2r0z,Train,5.47
2r1w,Train,4.6
2r1x,Train,4.8
2r1y,Train,4.51
2r23,Train,3.72
2r2b,Train,4.2
2r2m,Train,7.33
2r2w,Train,4.47
2r38,Train,7.44
2r3t,Train,5.85
2r3w,Train,6.89
2r3y,Train,5.49
2r43,Train,6.0
2r58,Train,2.0
2r59,Train,8.19
2r5a,Train,2.6
2r5b,Train,8.6
2r5d,Train,10.15
2r5p,Train,8.48
2r5q,Train,8.57
2r6w,Train,9.36
2r6y,Train,9.49
2r75,Train,6.15
2r7g,Train,6.05
2r9b,Train,6.57
2r9w,Test,5.1
2r9x,Train,4.85
2ra0,Train,7.8
2ra6,Train,4.52
2rcb,Train,6.79
2rcn,Train,6.0
2rcw,Train,8.1
2rd6,Train,8.3
2reg,Train,5.64
2rfh,Train,6.82
2rfy,Train,5.22
2ri9,Train,3.22
2rin,Train,4.0
2rio,Train,4.69
2rk7,Train,4.05
2rk8,Train,3.64
2rka,Train,3.0
2rkd,Train,2.72
2rke,Train,4.08
2rkf,Train,9.08
2rkg,Train,8.09
2rkm,Train,3.9
2rkn,Train,7.22
2sim,Train,3.42
2std,Train,9.85
2tmn,Train,5.89
2toh,Train,4.15
2tpi,Train,4.31
2tsr,Train,7.54
2upj,Train,7.39
2usn,Train,6.51
2uvm,Train,7.1
2uwd,Train,8.35
2uwl,Train,8.4
2uwo,Train,8.7
2uwp,Train,6.81
2uxi,Train,7.3
2uxu,Train,4.74
2uxx,Train,3.3
2uxz,Train,8.48
2uy0,Train,6.92
2uy3,Train,3.22
2uy4,Train,4.68
2uy5,Train,5.49
2uyn,Train,2.7
2uyq,Train,5.68
2uz6,Train,8.77
2uz9,Train,5.71
2v00,Test,3.66
2v0n,Train,6.3
2v25,Train,5.72
2v2c,Train,3.41
2v2h,Train,3.77
2v2q,Train,4.15
2v2v,Train,4.07
2v3d,Train,3.94
2v3e,Train,6.52
2v3u,Train,3.0
2v54,Train,4.6
2v57,Train,7.1
2v58,Train,9.09
2v59,Train,7.74
2v5x,Train,6.66
2v77,Train,5.06
2v7a,Test,8.3
2v7d,Train,6.59
2v83,Train,4.47
2v85,Train,4.46
2v86,Train,4.46
2v87,Train,4.6
2v88,Train,4.09
2v8w,Train,6.82
2v95,Train,8.3
2vb8,Train,4.6
2vba,Train,4.6
2vc7,Train,3.36
2vc9,Train,8.44
2ves,Train,7.7
2vfk,Train,3.71
2vfz,Train,3.61
2vh0,Train,8.51
2vh6,Train,9.7
2vhj,Train,3.9
2vhq,Train,3.85
2vi5,Train,3.96
2vj8,Train,8.7
2vjx,Train,4.96
2vk2,Train,6.89
2vk6,Train,5.3
2vkm,Test,8.74
2vl4,Train,6.01
2vmc,Train,2.94
2vmd,Train,3.02
2vmf,Train,5.85
2vnf,Train,5.52
2vnp,Train,9.92
2vnt,Train,8.0
2vo4,Train,4.94
2vo5,Train,4.89
2vot,Train,7.14
2vpe,Train,4.94
2vpg,Train,5.68
2vpn,Train,6.72
2vpo,Train,5.42
2vqt,Train,6.0
2vr0,Train,4.42
2vr3,Train,4.98
2vr4,Train,5.68
2vrj,Train,6.3
2vsl,Train,8.4
2vt3,Train,4.15
2vuk,Train,3.9
2vvc,Train,8.52
2vvn,Test,7.3
2vvp,Train,3.4
2vvs,Train,7.34
2vvu,Train,8.1
2vvv,Train,8.22
2vw1,Train,3.52
2vw2,Train,3.3
2vw5,Test,8.52
2vwc,Train,6.62
2vwf,Train,5.06
2vwl,Train,7.02
2vwm,Train,7.03
2vwn,Train,8.0
2vwo,Train,7.51
2vx9,Train,7.44
2vxa,Train,5.6
2vxj,Train,4.17
2vxn,Train,5.0
2vyt,Train,2.74
2vzr,Train,4.28
2w08,Train,3.42
2w0p,Train,6.52
2w0s,Train,3.3
2w0z,Train,4.03
2w10,Train,6.77
2w16,Train,10.0
2w26,Train,9.4
2w2i,Train,6.04
2w2u,Train,4.46
2w3o,Train,6.72
2w47,Train,4.98
2w4x,Test,4.85
2w5g,Train,6.07
2w5i,Train,4.54
2w66,Test,4.05
2w67,Train,4.96
2w68,Train,4.74
2w6t,Train,8.57
2w6u,Train,5.0
2w73,Train,6.52
2w76,Train,5.0
2w77,Train,9.19
2w78,Train,8.57
2w7y,Train,6.08
2w87,Train,4.65
2w8f,Train,6.3
2w8g,Train,6.0
2w8j,Train,2.96
2w8w,Train,2.12
2w8y,Train,9.09
2w9h,Train,6.37
2w9r,Train,5.32
2wa8,Train,5.42
2wb5,Train,9.13
2wbg,Test,4.45
2wc3,Train,6.08
2wc4,Train,5.29
2wca,Test,5.6
2wcg,Train,6.38
2wd7,Train,4.97
2we3,Train,4.43
2web,Train,5.12
2wec,Train,3.96
2wed,Train,6.1
2weg,Test,6.5
2weh,Train,5.95
2wej,Train,6.08
2weo,Train,6.93
2weq,Train,5.9
2wer,Test,7.05
2wf5,Train,6.0
2wfj,Train,7.15
2wgj,Train,8.7
2whp,Train,4.0
2wib,Train,4.93
2wic,Train,5.39
2wjg,Train,7.1
2wji,Train,5.02
2wk2,Train,6.82
2wk6,Train,3.32
2wks,Train,6.89
2wkt,Train,4.31
2wky,Train,8.59
2wkz,Train,8.77
2wl0,Train,7.8
2wl4,Train,4.19
2wl5,Train,4.52
2wly,Train,6.6
2wlz,Train,4.6
2wm0,Train,4.52
2wn9,Test,8.52
2wnc,Test,6.32
2wnj,Train,6.48
2wnl,Train,6.0
2won,Train,6.2
2wor,Train,3.9
2wos,Train,3.9
2wp1,Train,3.6
2wpb,Train,2.89
2wq5,Train,3.74
2wqp,Train,5.51
2wr8,Train,5.44
2wtv,Test,8.74
2wtx,Train,2.89
2wuf,Train,4.29
2wva,Train,10.7
2wvt,Test,6.12
2wvz,Train,4.02
2ww0,Train,5.3
2ww2,Train,4.85
2wyf,Train,4.43
2wyg,Train,8.7
2wyi,Train,4.74
2wyj,Train,9.0
2wyn,Train,5.55
2wzf,Train,7.0
2wzm,Train,5.22
2wzs,Train,3.85
2wzy,Train,10.72
2x00,Test,11.33
2x09,Train,3.76
2x0y,Train,4.6
2x2c,Train,7.72
2x2i,Train,8.7
2x2r,Train,7.12
2x4z,Train,8.57
2x6w,Train,7.1
2x6x,Train,3.68
2x6y,Train,4.59
2x7s,Train,5.78
2x7t,Train,6.63
2x7u,Train,5.27
2x7x,Train,5.7
2x85,Train,3.89
2x8z,Train,7.96
2x91,Train,6.74
2x95,Train,4.95
2x96,Train,4.03
2x97,Train,5.66
2xab,Train,9.27
2xb7,Train,9.19
2xb8,Test,7.59
2xb9,Train,6.77
2xba,Train,7.63
2xbp,Train,5.02
2xbv,Test,8.43
2xbw,Train,8.0
2xbx,Train,7.82
2xc0,Train,6.72
2xc4,Train,8.05
2xcg,Train,8.05
2xd9,Train,6.46
2xda,Train,6.22
2xde,Train,5.47
2xdk,Train,3.6
2xdl,Test,3.1
2xdx,Train,6.46
2xef,Train,9.84
2xeg,Train,10.7
2xei,Train,10.62
2xej,Train,8.87
2xg3,Train,4.74
2xg9,Train,4.15
2xgm,Train,3.0
2xgo,Train,3.0
2xgs,Train,3.28
2xhm,Train,6.8
2xhr,Train,8.32
2xhs,Train,6.0
2xht,Train,5.96
2xhx,Train,6.6
2xi7,Train,5.14
2xib,Train,7.26
2xii,Test,7.2
2xj1,Train,7.55
2xj2,Train,7.18
2xj7,Test,6.66
2xjg,Train,7.82
2xjj,Train,6.51
2xjx,Train,9.15
2xl2,Train,5.25
2xl3,Train,5.25
2xm1,Train,5.07
2xm2,Train,4.62
2xmy,Train,9.96
2xn3,Train,5.92
2xn5,Train,6.69
2xn6,Train,8.8
2xnb,Test,6.83
2xog,Train,3.43
2xoi,Train,3.34
2xp7,Train,5.77
2xpc,Train,3.9
2xpk,Train,11.3
2xqq,Train,4.82
2xrw,Train,5.15
2xs0,Train,5.15
2xs8,Train,4.61
2xtn,Train,7.4
2xto,Train,6.2
2xuz,Train,7.4
2xv1,Train,5.99
2xwd,Train,6.96
2xwe,Train,6.02
2xxn,Train,6.41
2xxr,Train,6.55
2xxt,Train,8.05
2xxw,Train,6.41
2xxx,Train,6.41
2xxy,Train,7.89
2xy9,Train,9.19
2xyd,Train,6.82
2xye,Train,8.34
2xyf,Train,8.44
2xyn,Train,8.4
2xys,Test,7.42
2xyt,Train,6.29
2xz5,Train,4.01
2xzq,Train,6.59
2xzw,Train,5.29
2y06,Train,6.1
2y07,Train,6.22
2y1n,Train,4.77
2y1w,Train,6.33
2y34,Train,7.1
2y36,Train,6.42
2y3p,Train,5.89
2y4k,Train,5.46
2y4l,Train,6.3
2y4s,Train,6.15
2y5f,Train,8.7
2y5g,Train,6.84
2y5h,Test,5.79
2y6s,Train,6.99
2y71,Train,7.37
2y76,Train,6.36
2y77,Train,6.6
2y7i,Train,5.54
2y7k,Train,4.93
2y7p,Train,5.47
2y7w,Train,4.98
2y7x,Train,8.89
2y7z,Train,8.7
2y80,Train,8.05
2y81,Train,8.7
2y82,Train,8.4
2y8c,Train,6.4
2y8l,Train,5.82
2y8o,Train,5.12
2y8q,Train,5.82
2y9g,Train,3.77
2y9q,Train,6.15
2ya6,Train,5.7
2ya7,Train,3.14
2ya8,Train,5.75
2yay,Train,6.1
2yaz,Train,5.14
2yb0,Train,3.85
2ybu,Train,6.38
2ydf,Train,7.66
2ydo,Train,7.51
2ydt,Train,5.52
2ydv,Train,7.86
2ydw,Train,7.34
2yek,Train,7.21
2yel,Train,7.28
2yfa,Train,5.07
2yfe,Test,6.63
2yfx,Train,8.09
2yga,Train,4.61
2yge,Test,5.06
2ygf,Train,5.09
2ygu,Train,6.49
2yhd,Train,4.64
2yhw,Train,5.6
2yhy,Train,5.6
2yi0,Train,8.12
2yi5,Train,7.41
2yi7,Train,8.32
2yim,Train,3.92
2yiv,Train,2.78
2yix,Train,8.48
2yjq,Train,5.28
2yk1,Train,8.13
2yki,Test,9.46
2yln,Train,7.68
2ymd,Test,3.16
2yme,Train,7.66
2ynd,Train,7.49
2yne,Train,8.57
2ynn,Train,5.17
2ynr,Train,5.77
2yns,Train,7.6
2yof,Train,4.6
2yog,Train,4.51
2yoh,Train,4.96
2ypi,Train,4.82
2ypo,Train,4.68
2ypp,Train,4.41
2yq6,Train,7.35
2yxj,Train,9.3
2yz3,Train,6.66
2z1w,Train,4.08
2z3h,Train,4.64
2z4b,Train,9.36
2z4o,Train,9.57
2z5s,Train,5.66
2z5t,Train,5.62
2z6w,Train,7.87
2z7g,Train,8.95
2z7h,Train,6.94
2z8e,Train,8.0
2z92,Train,9.1
2z94,Train,5.85
2z9g,Train,6.15
2za0,Train,6.64
2za3,Train,3.68
2za5,Train,8.43
2zaz,Train,6.4
2zb0,Train,6.62
2zb1,Test,6.32
2zc9,Train,6.74
2zcq,Test,8.82
2zcr,Test,6.87
2zcs,Train,8.22
2zda,Test,8.4
2zdk,Train,6.37
2zdl,Train,6.4
2zdm,Train,6.41
2zdn,Train,6.25
2zfp,Train,5.17
2zfs,Train,6.54
2zft,Train,6.52
2zg1,Train,2.1
2zg3,Train,2.06
2zga,Train,6.32
2zgx,Train,6.74
2zhd,Train,6.54
2zif,Train,4.37
2zit,Train,4.46
2zju,Train,5.81
2zjv,Train,5.14
2zjw,Train,7.7
2zkj,Train,5.48
2zm3,Train,6.21
2zmd,Train,7.01
2zmm,Train,7.6
2zn7,Train,7.89
2zns,Train,6.54
2znt,Train,9.3
2znu,Train,8.11
2zo3,Train,10.0
2zpk,Train,7.76
2zq0,Train,6.82
2zq1,Train,6.62
2zq2,Train,6.56
2zsc,Train,7.06
2zwz,Train,7.79
2zx6,Train,10.6
2zx7,Train,10.49
2zx8,Train,9.64
2zx9,Train,10.27
2zxa,Train,8.35
2zxb,Train,5.3
2zxd,Train,5.22
2zxg,Train,8.82
2zy1,Test,7.4
2zym,Train,6.14
2zyn,Train,5.92
2zz1,Train,4.54
2zz2,Train,4.54
3a1c,Train,4.0
3a1d,Train,4.12
3a1e,Train,2.66
3a1s,Train,4.83
3a1t,Train,4.83
3a2c,Train,6.9
3a2o,Train,9.08
3a3y,Train,9.15
3a5y,Train,7.96
3a6t,Train,7.28
3a73,Train,3.38
3a9i,Train,4.15
3aaq,Train,3.3
3aas,Train,4.51
3aau,Train,5.05
3acl,Train,6.22
3acw,Test,4.76
3acx,Train,5.7
3ad7,Train,2.52
3ad8,Train,3.16
3ads,Train,5.01
3adt,Train,4.55
3adu,Train,4.14
3adv,Train,3.03
3afk,Train,3.6
3ag9,Test,8.05
3agl,Train,7.8
3agm,Train,9.09
3ahn,Train,7.05
3aho,Train,7.05
3ai8,Train,3.81
3aid,Train,6.86
3aje,Train,5.03
3al3,Train,5.68
3alt,Train,2.92
3ama,Train,6.53
3amb,Train,6.18
3amv,Train,7.97
3anq,Train,6.74
3ao1,Train,2.26
3ao2,Train,3.77
3ao4,Test,2.07
3ao5,Train,2.23
3aox,Train,9.08
3ap4,Train,3.92
3ap7,Train,3.0
3aqa,Train,4.55
3aqt,Train,6.72
3arb,Train,6.63
3are,Train,6.21
3arf,Train,7.19
3arg,Train,7.26
3arp,Test,7.15
3arq,Test,6.4
3arr,Train,5.4
3art,Train,4.43
3aru,Test,3.22
3arv,Test,5.64
3arw,Train,6.15
3arx,Train,5.33
3ary,Test,6.0
3arz,Train,6.0
3as0,Train,4.55
3ask,Train,6.43
3asl,Train,5.76
3at1,Train,3.18
3atp,Train,4.45
3atu,Train,8.3
3atv,Train,5.34
3ax5,Train,5.85
3axk,Train,4.15
3axm,Train,5.07
3axz,Train,3.43
3ay9,Train,8.34
3aya,Train,4.33
3ayc,Train,4.24
3ayd,Train,4.19
3b1m,Test,8.48
3b24,Train,4.38
3b25,Train,6.07
3b26,Train,6.64
3b27,Test,5.16
3b28,Train,8.47
3b2q,Train,4.55
3b2t,Train,5.21
3b3c,Train,3.98
3b3s,Train,2.55
3b3w,Train,4.19
3b3x,Train,3.6
3b4f,Train,8.14
3b4p,Train,5.4
3b50,Train,7.55
3b5j,Train,5.68
3b5r,Test,8.77
3b65,Test,9.27
3b66,Train,8.6
3b67,Train,8.85
3b68,Test,8.4
3b78,Train,4.1
3b7i,Train,5.82
3b7j,Train,5.17
3b7r,Train,7.7
3b7u,Train,7.74
3b82,Train,4.43
3b8h,Train,4.2
3b92,Train,8.0
3b95,Train,5.15
3b9g,Train,4.72
3bb1,Train,3.6
3bbb,Train,7.0
3bbf,Train,5.28
3bbt,Train,6.15
3bc3,Train,6.81
3bc4,Train,5.35
3bcs,Train,5.21
3be9,Train,7.62
3bex,Train,5.57
3bf1,Train,2.52
3bft,Train,6.49
3bfu,Train,6.27
3bgb,Train,6.05
3bgc,Train,5.02
3bgp,Train,7.04
3bgq,Train,7.96
3bgs,Train,9.42
3bgz,Test,6.26
3bim,Train,5.88
3bkk,Train,6.08
3bkl,Train,6.17
3bl0,Train,6.92
3bl1,Train,5.6
3bl2,Train,5.8
3bla,Train,8.7
3blr,Train,8.19
3bmn,Train,4.46
3bmo,Train,5.27
3bmq,Train,5.49
3bpc,Train,4.8
3bqc,Train,5.73
3bra,Train,2.7
3brn,Train,8.7
3bt9,Train,5.71
3btc,Train,5.75
3bti,Train,6.14
3btj,Train,5.62
3btl,Train,5.96
3btr,Train,5.3
3bu1,Train,8.15
3bu6,Train,5.89
3bu8,Train,6.92
3buf,Train,3.1
3bug,Train,3.18
3buh,Train,3.66
3bum,Train,6.49
3bun,Train,6.21
3buo,Train,6.06
3buw,Train,5.83
3bux,Train,5.63
3bv9,Test,5.36
3bva,Train,6.52
3bvb,Train,5.49
3bwj,Train,6.5
3bxe,Train,5.48
3bxf,Train,5.54
3bxg,Train,4.96
3bxh,Train,4.03
3bxs,Train,5.1
3bxz,Train,6.72
3bze,Train,6.0
3bzf,Train,4.52
3bzi,Train,5.74
3c14,Train,3.52
3c1k,Train,9.44
3c1n,Train,5.5
3c2f,Train,2.0
3c2o,Train,3.35
3c2r,Train,3.11
3c2u,Train,2.9
3c39,Train,3.96
3c3o,Train,4.36
3c3q,Train,4.32
3c3r,Train,4.39
3c49,Train,7.15
3c4h,Train,5.7
3c52,Train,7.3
3c56,Train,7.89
3c6w,Train,5.62
3c79,Train,7.2
3c84,Train,7.85
3c88,Train,6.8
3c89,Train,6.07
3c8a,Train,6.18
3c8b,Train,6.1
3c8e,Train,4.15
3c94,Train,6.87
3caj,Train,8.1
3cct,Train,7.56
3ccw,Train,7.87
3ccz,Train,7.29
3cd0,Train,7.57
3cd5,Train,7.9
3cd7,Train,7.84
3cda,Train,7.58
3cdb,Train,7.02
3ce0,Train,6.15
3cen,Train,8.26
3cf8,Train,4.9
3cf9,Train,4.83
3cfn,Train,5.0
3cfs,Train,5.96
3cft,Train,4.19
3cfv,Train,6.05
3cgy,Train,3.15
3chg,Train,3.99
3cj2,Train,4.85
3cj4,Test,6.51
3cj5,Train,6.34
3ck7,Train,4.05
3ck8,Train,3.84
3ckb,Train,2.98
3cke,Train,6.1
3ckp,Train,6.35
3ckr,Train,5.3
3ckt,Train,6.32
3ckz,Train,8.72
3cl0,Train,7.07
3cl2,Train,7.59
3clp,Train,3.69
3cm2,Train,6.47
3cow,Train,6.9
3coy,Test,6.02
3coz,Test,5.57
3cph,Train,6.48
3cpj,Train,4.72
3cr4,Train,4.28
3cr5,Train,4.19
3cs7,Train,10.68
3cso,Train,5.77
3ctr,Train,5.16
3ctt,Train,6.35
3cwk,Train,6.6
3cx9,Train,4.89
3cyu,Train,7.22
3cyw,Train,7.77
3cyx,Train,8.0
3cyy,Train,4.77
3cyz,Train,7.22
3cz1,Train,7.26
3czv,Train,7.8
3d0b,Train,6.54
3d0e,Train,8.4
3d1e,Train,5.77
3d1f,Train,5.74
3d1g,Train,5.0
3d1v,Train,3.49
3d1x,Train,8.66
3d1y,Train,8.22
3d1z,Train,8.8
3d20,Train,8.3
3d2e,Train,6.42
3d2r,Train,5.48
3d2t,Train,7.12
3d32,Train,6.45
3d3x,Train,4.16
3d4y,Train,5.7
3d4z,Test,4.89
3d50,Train,4.77
3d51,Train,4.15
3d52,Train,3.28
3d6o,Train,4.11
3d6p,Train,3.75
3d6q,Test,3.76
3d78,Train,7.64
3d7b,Train,3.69
3d7k,Train,4.6
3d7m,Train,6.44
3d7z,Train,7.92
3d83,Train,8.36
3d8w,Train,8.15
3d8y,Train,3.4
3d8z,Train,3.37
3d91,Train,9.15
3d94,Train,6.8
3d9k,Train,4.72
3d9l,Train,4.17
3d9m,Train,3.48
3d9n,Train,4.05
3d9o,Train,3.0
3d9p,Train,4.54
3d9z,Train,8.7
3da9,Train,5.51
3dab,Train,6.68
3daz,Train,7.93
3dba,Train,8.0
3dbu,Train,8.06
3dc2,Train,3.02
3dc3,Train,8.31
3dcc,Train,8.96
3dcs,Train,7.94
3dcw,Train,9.0
3dd0,Test,9.0
3dd8,Train,7.85
3ddf,Train,4.66
3ddg,Train,6.0
3dgl,Train,6.6
3dgn,Train,6.21
3dgo,Train,6.74
3dhk,Train,7.33
3dhv,Train,2.96
3diw,Train,6.72
3djk,Train,10.59
3djo,Train,4.39
3djp,Train,4.2
3djq,Train,2.98
3djv,Train,4.55
3djx,Train,2.81
3dk1,Train,9.74
3dkf,Train,8.57
3dla,Train,3.46
3dln,Train,6.6
3dnd,Train,4.8
3dne,Train,5.22
3dnj,Train,6.82
3dnt,Train,4.74
3dow,Train,4.94
3dp4,Train,7.37
3dp9,Train,9.68
3dpc,Train,4.36
3dpo,Train,8.26
3drf,Train,7.0
3drg,Train,7.0
3dri,Train,4.42
3ds0,Train,4.83
3ds1,Train,5.7
3ds3,Train,5.22
3ds4,Train,4.19
3ds9,Train,7.39
3dst,Train,9.08
3dsu,Train,7.03
3dsz,Train,7.77
3dux,Train,7.0
3dvp,Train,5.0
3dx0,Train,7.44
3dx1,Test,3.58
3dx2,Test,6.82
3dx3,Train,6.52
3dx4,Train,7.12
3dxg,Test,2.4
3dxh,Train,3.19
3dxj,Train,6.22
3dxk,Train,6.33
3dxm,Train,6.0
3dyo,Train,2.3
3dzt,Train,7.22
3e12,Train,5.99
3e1r,Train,5.82
3e3c,Train,5.62
3e4a,Train,8.77
3e5a,Test,8.23
3e5u,Train,5.85
3e64,Train,7.11
3e6y,Train,5.6
3e73,Train,3.15
3e85,Train,5.38
3e8r,Train,9.74
3e8u,Train,9.42
3e92,Test,8.0
3e93,Test,8.85
3e9h,Train,7.55
3e9i,Train,6.22
3eax,Train,4.92
3eb1,Train,4.79
3ebb,Train,5.3
3ebh,Train,6.32
3ebi,Train,7.1
3ebl,Train,6.3
3ebo,Train,4.72
3ebp,Test,5.91
3ed0,Train,6.35
3eeb,Train,5.89
3efj,Train,7.41
3efk,Train,7.85
3efr,Train,5.08
3efs,Train,5.34
3eft,Train,7.92
3eg6,Train,5.77
3egk,Train,4.66
3egt,Train,8.9
3ehx,Train,7.6
3ehy,Test,5.85
3eig,Train,7.68
3ejp,Train,8.55
3ejq,Train,8.57
3ejr,Test,8.57
3eko,Train,6.7
3ekp,Train,8.89
3ekq,Train,6.75
3ekr,Train,7.52
3eks,Train,5.7
3ekt,Train,10.59
3ekv,Train,9.41
3ekw,Train,7.96
3ekx,Train,9.41
3eky,Train,9.64
3el0,Train,7.47
3el1,Train,9.64
3el4,Train,7.17
3el5,Train,7.72
3el9,Train,8.4
3elc,Train,2.69
3elm,Train,9.72
3emg,Train,8.05
3emh,Train,6.85
3eml,Train,8.74
3eos,Train,8.4
3eou,Train,7.01
3eov,Train,7.2
3eqr,Train,8.7
3eqs,Train,8.48
3eqy,Train,8.05
3er3,Train,7.09
3er5,Train,9.0
3erd,Train,9.9
3ert,Train,9.6
3ery,Train,5.66
3esj,Train,3.03
3eu5,Train,7.49
3eu7,Train,6.18
3evc,Train,6.91
3evd,Train,6.91
3evf,Train,6.77
3ew2,Train,6.67
3ewc,Train,7.7
3ewj,Train,6.84
3exe,Train,6.96
3exf,Train,6.54
3exh,Train,4.88
3eyf,Train,7.03
3eys,Train,5.52
3eyu,Train,7.62
3f0r,Train,6.89
3f15,Train,8.1
3f16,Train,8.23
3f17,Train,8.63
3f18,Train,7.4
3f19,Train,7.19
3f1a,Train,7.21
3f33,Train,3.34
3f34,Train,3.16
3f35,Train,3.16
3f36,Train,2.89
3f37,Train,2.62
3f38,Train,2.62
3f3a,Test,4.19
3f3c,Test,6.02
3f3d,Test,7.16
3f3e,Test,7.7
3f3t,Train,4.59
3f3u,Train,4.74
3f3v,Train,7.14
3f48,Train,6.29
3f5j,Train,4.28
3f5k,Train,4.62
3f5l,Train,3.72
3f68,Train,5.06
3f6e,Train,2.38
3f6g,Train,4.72
3f6h,Train,4.72
3f70,Train,4.85
3f78,Train,3.1
3f7g,Train,7.37
3f7h,Train,7.09
3f7i,Train,7.34
3f80,Train,4.22
3f82,Train,8.34
3f8c,Train,7.68
3f8e,Train,7.23
3f8f,Train,6.63
3f9w,Train,4.72
3f9y,Train,4.49
3fa3,Train,5.6
3fas,Train,6.77
3fat,Train,7.64
3fcq,Test,2.77
3fdm,Train,8.7
3fdt,Train,4.52
3fe7,Train,7.12
3fea,Train,7.44
3fed,Train,7.46
3fee,Train,6.64
3feg,Train,4.35
3ff3,Train,3.57
3ffg,Train,9.08
3ffp,Train,7.14
3ffu,Train,6.44
3fgc,Train,3.92
3fh7,Train,7.6
3fhb,Train,5.7
3fj7,Train,3.71
3fjg,Train,3.73
3fjz,Train,4.05
3fk1,Train,2.62
3fl5,Train,7.28
3fmz,Train,8.08
3fn0,Train,4.4
3fqe,Train,8.3
3fql,Train,7.15
3fsj,Train,3.95
3fsm,Train,7.0
3ftq,Train,5.33
3fuc,Train,9.72
3fur,Test,8.0
3fuz,Train,6.54
3fv1,Test,9.3
3fv2,Test,8.11
3fv3,Train,9.52
3fvg,Train,6.89
3fvh,Train,6.35
3fvk,Train,8.82
3fvl,Train,6.07
3fvn,Train,6.77
3fw4,Train,9.4
3fwv,Train,5.64
3fx6,Train,6.8
3fxb,Train,5.85
3fzn,Train,4.01
3fzy,Train,6.74
3g08,Train,8.16
3g0e,Train,7.7
3g0f,Train,7.66
3g0i,Train,3.6
3g0w,Test,9.52
3g15,Train,7.0
3g19,Train,6.67
3g1d,Train,3.48
3g1v,Train,3.19
3g2h,Train,3.82
3g2i,Train,4.86
3g2j,Train,4.75
3g2k,Train,4.79
3g2l,Train,3.87
3g2n,Test,4.09
3g2s,Train,6.22
3g2t,Train,7.0
3g2u,Train,5.27
3g2v,Train,6.52
3g2w,Train,5.66
3g2y,Train,2.0
3g2z,Test,2.36
3g30,Train,2.51
3g31,Test,2.89
3g32,Train,3.71
3g34,Train,2.96
3g35,Train,4.68
3g3r,Train,6.48
3g5d,Train,7.96
3g5k,Train,9.52
3g5v,Train,7.8
3g5y,Train,7.46
3g7l,Train,6.72
3g8e,Train,5.35
3g90,Train,6.36
3g9l,Train,6.13
3g9n,Train,5.74
3ga5,Train,5.49
3gba,Train,9.07
3gbb,Test,6.9
3gbe,Train,5.0
3gc4,Train,7.6
3gc5,Test,7.26
3gcp,Train,7.82
3gcq,Train,6.47
3gcs,Train,7.25
3gcu,Train,6.78
3gcv,Train,7.13
3gds,Train,6.51
3gdt,Train,7.19
3ge7,Test,8.7
3gep,Train,3.75
3gfw,Train,7.57
3ggc,Train,5.44
3ggj,Train,6.0
3ggu,Train,9.77
3ggw,Train,5.54
3ghe,Train,5.89
3gi4,Train,10.8
3gi5,Train,11.22
3gi6,Train,11.22
3gjd,Train,7.33
3gjw,Train,8.3
3gk1,Train,4.1
3gk2,Train,2.7
3gk4,Train,3.92
3gkz,Train,8.0
3gl6,Train,4.68
3gm0,Train,7.77
3gn7,Train,8.3
3gnw,Test,9.1
3gp0,Train,7.44
3gpo,Train,5.3
3gqo,Train,5.41
3gqz,Train,2.17
3gr2,Test,2.52
3grj,Train,3.0
3gs6,Train,6.59
3gsg,Train,2.7
3gsm,Train,6.48
3gss,Train,5.82
3gst,Train,6.72
3gt9,Train,3.96
3gta,Train,4.28
3gtc,Train,2.35
3gus,Train,6.05
3guz,Train,4.38
3gv9,Test,2.12
3gvb,Train,2.59
3gvu,Train,8.0
3gws,Train,10.09
3gx0,Train,3.48
3gxt,Train,4.74
3gxy,Train,5.59
3gxz,Train,7.89
3gy2,Train,5.74
